Pathway,Frequency,Proportion
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,9,0.9
REACTOME_PEPTIDE_HORMONE_METABOLISM,9,0.9
REACTOME_SARS_COV_INFECTIONS,8,0.8
REACTOME_INTERFERON_SIGNALING,7,0.7
REACTOME_NGF_STIMULATED_TRANSCRIPTION,7,0.7
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,7,0.7
REACTOME_SIGNALING_BY_RHO_GTPASES_MIRO_GTPASES_AND_RHOBTB3,6,0.6
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION,4,0.4
REACTOME_L1CAM_INTERACTIONS,3,0.3
REACTOME_METABOLISM_OF_CARBOHYDRATES,3,0.3
REACTOME_RHO_GTPASE_CYCLE,3,0.3
REACTOME_CELLULAR_RESPONSES_TO_STIMULI,2,0.2
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,2,0.2
REACTOME_MUSCLE_CONTRACTION,2,0.2
REACTOME_NEURONAL_SYSTEM,2,0.2
REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION,2,0.2
REACTOME_SIGNALING_BY_NTRKS,2,0.2
REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS,2,0.2
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,2,0.2
KEGG_CHEMOKINE_SIGNALING_PATHWAY,1,0.1
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,1,0.1
KEGG_HEMATOPOIETIC_CELL_LINEAGE,1,0.1
KEGG_MAPK_SIGNALING_PATHWAY,1,0.1
REACTOME_DEVELOPMENTAL_BIOLOGY,1,0.1
REACTOME_DISEASES_OF_METABOLISM,1,0.1
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,1,0.1
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS,1,0.1
REACTOME_HEMOSTASIS,1,0.1
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,1,0.1
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES,1,0.1
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,1,0.1
