Pathway,Frequency,Proportion
KEGG_HEMATOPOIETIC_CELL_LINEAGE,10,1.0
REACTOME_AMYLOID_FIBER_FORMATION,10,1.0
REACTOME_METABOLISM_OF_LIPIDS,10,1.0
REACTOME_CELLULAR_RESPONSES_TO_STIMULI,9,0.9
REACTOME_TRANSPORT_OF_SMALL_MOLECULES,9,0.9
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,8,0.8
REACTOME_CELL_CELL_COMMUNICATION,7,0.7
REACTOME_INNATE_IMMUNE_SYSTEM,6,0.6
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES,6,0.6
REACTOME_CELL_CYCLE,5,0.5
REACTOME_NERVOUS_SYSTEM_DEVELOPMENT,5,0.5
REACTOME_SIGNALING_BY_NOTCH,3,0.3
REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING,2,0.2
REACTOME_METABOLISM_OF_CARBOHYDRATES,2,0.2
REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS,2,0.2
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,1,0.1
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS,1,0.1
REACTOME_SIGNALING_BY_GPCR,1,0.1
REACTOME_SIGNALING_BY_INTERLEUKINS,1,0.1
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,1,0.1
REACTOME_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT,1,0.1
