Pathway,Frequency,Proportion
REACTOME_PEPTIDE_HORMONE_METABOLISM,10,1.0
KEGG_MAPK_SIGNALING_PATHWAY,9,0.9
REACTOME_SIGNALING_BY_NOTCH,9,0.9
REACTOME_CELLULAR_RESPONSES_TO_STIMULI,8,0.8
REACTOME_RHO_GTPASE_CYCLE,7,0.7
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,6,0.6
REACTOME_AUTOPHAGY,6,0.6
KEGG_TIGHT_JUNCTION,5,0.5
REACTOME_HEMOSTASIS,4,0.4
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING,4,0.4
REACTOME_METABOLISM_OF_LIPIDS,4,0.4
REACTOME_MUSCLE_CONTRACTION,4,0.4
KEGG_ENDOCYTOSIS,2,0.2
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,2,0.2
KEGG_TYPE_I_DIABETES_MELLITUS,2,0.2
REACTOME_NGF_STIMULATED_TRANSCRIPTION,2,0.2
KEGG_CELL_ADHESION_MOLECULES_CAMS,1,0.1
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,1,0.1
REACTOME_INFECTIOUS_DISEASE,1,0.1
REACTOME_METABOLISM_OF_CARBOHYDRATES,1,0.1
REACTOME_NEURONAL_SYSTEM,1,0.1
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,1,0.1
REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION,1,0.1
REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES,1,0.1
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53,1,0.1
