"X0","X0.5","X1","X1.5","X2","X3"
NA,1,NA,NA,NA,NA
1,0,0,0,0,NA
NA,NA,NA,NA,NA,NA
NA,0.6,0.6,0.6,0.636363636363636,0.6
NA,0.692307692307692,0.588235294117647,0.555555555555556,0.555555555555556,0.529411764705882
NA,0,0.333333333333333,NA,NA,NA
NA,NA,NA,NA,NA,NA
1,0.5,0.666666666666667,0.5,0.5,0.5
0,NA,NA,NA,NA,NA
NA,0.333333333333333,0.5,0.5,0.333333333333333,0.333333333333333
NA,1,1,1,1,NA
NA,1,1,0.666666666666667,1,1
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,0.583333333333333,0.375,0.285714285714286,0.375,0.444444444444444
NA,1,1,0.4,0.5,0.6
NA,0.4,0.5,0.5,0.5,0.5
NA,0,0,0.333333333333333,0,0
NA,0.333333333333333,0.5,0.5,0.5,0.428571428571429
1,0.5,0.6,0.6,0.6,0.6
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,0,0,0,0
NA,0.363636363636364,0.5,0.470588235294118,0.470588235294118,0.428571428571429
NA,0.444444444444444,0.375,0.285714285714286,0.285714285714286,0.285714285714286
NA,NA,NA,NA,0.5,0
NA,1,1,NA,1,1
