"X0.01","X0.05","X0.1","X0.15","X0.2","X0.3"
NA,0,0,0,0,0
NA,0,0,0,0,0
0,0,0,0,0,0
NA,NA,NA,0,0,0
NA,0,0,0,0,0
NA,NA,NA,0,0,0
0,0,0,0,0,0
NA,NA,NA,NA,NA,NA
NA,0,0,0,0.333333333333333,0.333333333333333
NA,NA,NA,NA,NA,NA
0,0,0,0,0,0.5
NA,0,0,0.2,0.2,0.333333333333333
NA,NA,NA,NA,NA,0
1,1,0.666666666666667,0.6,0.6,0.666666666666667
NA,NA,0,0,0,0
NA,0,0,0,0,0
0,0,0,0,0,0
NA,NA,NA,NA,NA,0
1,1,0.8,0.8,0.833333333333333,0.833333333333333
0,0.6,0.6,0.666666666666667,0.666666666666667,0.636363636363636
0,0,0,0,0,0.75
0,0,0.333333333333333,0.333333333333333,0.333333333333333,0.333333333333333
0,0,0,0,0,0.25
0,0,0,0,0.5,0.5
0,0,0,0.5,0.5,0.5
0,0.5,0.5,0.5,0.666666666666667,0.666666666666667
0,0.5,0.545454545454545,0.666666666666667,0.666666666666667,0.7
0,0,0,0,0,0
0,0,0,0,0,0.333333333333333
0,0,0,0,0.25,0.25
