"X0.01","X0.05","X0.1","X0.15","X0.2","X0.3"
0,0.1,0.1,0.1,0.1,0.2
0,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1
0,0,0,0.1,0.1,0.1
0,0.1,0.1,0.3,0.3,0.3
0,0,0,0.1,0.2,0.2
0.1,0.2,0.2,0.3,0.3,0.3
0,0,0,0,0,0
0,0.2,0.2,0.2,0.2,0.2
0,0,0,0,0,0
0.1,0.1,0.1,0.1,0.1,0.1
0,0.2,0.3,0.4,0.4,0.4
0,0,0,0,0,0.3
0,0,0.1,0.2,0.2,0.2
0,0,0.1,0.2,0.2,0.2
0,0.2,0.2,0.2,0.2,0.2
0.1,0.1,0.2,0.2,0.2,0.2
0,0,0,0,0,0.1
0,0,0.1,0.1,0.1,0.1
0.2,0.2,0.2,0.2,0.2,0.4
0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.2,0.2,0.2,0.2
0.1,0.2,0.2,0.2,0.2,0.3
0.1,0.2,0.2,0.2,0.3,0.3
0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.3,0.5,0.5,0.5,0.6
0.1,0.1,0.1,0.1,0.1,0.1
0.2,0.2,0.2,0.2,0.2,0.2
0.3,0.3,0.3,0.3,0.3,0.3
