"X0","X2","X4","X6","X8","X10"
NA,NA,NA,NA,NA,NA
NA,NA,NA,1,NA,NA
NA,1,NA,0,1,NA
1,NA,1,NA,NA,NA
NA,NA,0,NA,NA,1
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,1,NA,NA,NA,NA
NA,NA,NA,NA,1,1
NA,1,1,1,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1
NA,0.8,NA,NA,NA,NA
NA,NA,NA,NA,NA,1
1,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,NA
NA,1,NA,1,1,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,1,1,NA
NA,NA,NA,NA,NA,NA
NA,NA,1,NA,NA,NA
0,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,1,NA,NA,NA
1,NA,NA,NA,NA,1
1,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
