"X0","X2","X4","X6","X8","X10"
0,0.714285714285714,0,0.5,0,0.6
0,0,0,0,NA,0.4
0.25,0,0,0,0.333333333333333,0
NA,NA,0,0,0.333333333333333,0.666666666666667
0,0,0,0,0.714285714285714,NA
0.25,0.666666666666667,0,NA,0.571428571428571,NA
0,0.5,0,0.5,0.428571428571429,NA
0,0.333333333333333,NA,0.6,0.857142857142857,0.5
0.25,NA,0.333333333333333,0.333333333333333,0.666666666666667,0.6
NA,0.666666666666667,NA,0,0,0.727272727272727
0,0,0,0,0.666666666666667,NA
0,NA,0.2,0.692307692307692,NA,0.5
0,0,NA,0.857142857142857,0.666666666666667,NA
0,NA,0.6,0.2,0.4,0
0,0.75,0,0.5,NA,NA
0,0.25,0,0.5,0.5,0
0,0,0,0,NA,NA
0.166666666666667,0.428571428571429,NA,0.25,NA,0
0,0,0.833333333333333,NA,NA,1
0,0,0.666666666666667,0,0,0
0,0,0,0.5,NA,NA
NA,0,0.333333333333333,0,0.5,0
0,0,0,0,0.5,0.2
0,0,0.5,NA,1,0.5
NA,0,0.5,0.333333333333333,0.5,NA
0,0.25,0.666666666666667,NA,0.25,0.428571428571429
0,0,0.666666666666667,NA,0.5,0.625
NA,NA,0,0,0.5,0.333333333333333
0,0,0,0,0,NA
0.5,0,0.25,0.2,0.583333333333333,0.25
