"X600","X840","X1080","X1320","X1560","X1800"
NA,NA,NA,0,0,0.333333333333333
0,0,0.5,0,0,0
NA,0,0,0,0,0
NA,NA,NA,NA,NA,0
0.5,0.4,0.5,0.333333333333333,0.285714285714286,0.285714285714286
NA,NA,NA,NA,NA,NA
0,0,0,0,0.25,0.25
NA,1,NA,NA,NA,NA
NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA
NA,0,0,0,0,0
0.833333333333333,0.6,0.333333333333333,0.5,0.6,0.6
NA,NA,NA,NA,NA,NA
1,NA,NA,0.666666666666667,0.5,0
NA,NA,1,NA,1,1
NA,NA,NA,NA,NA,NA
NA,0.75,NA,0,0,0
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,1,1
0,0,0,0,0.5,0.25
0.5,0.5,0.5,0.5,0,0
0,0,0,0,0,0
0,0,0,0,0,0
NA,NA,0,0,0,0
NA,0,0,0.666666666666667,0.333333333333333,0.5
0,0,0.25,0.25,0.25,0
0.769230769230769,0.733333333333333,0.777777777777778,0.727272727272727,0.75,0.692307692307692
NA,NA,0,0,0,0
0.5,0,0,0,0,0
0,0,0,0,0,0
