"X6","X8","X10","X12","X14","X16"
0.5,0,0.333333333333333,NA,0.75,0.777777777777778
0,0,0.6,0.5,0.833333333333333,0.6
0.5,0,0,0.5,0.5,0.666666666666667
NA,NA,0,0,0.888888888888889,0.666666666666667
0,0,0.333333333333333,0,0,0
NA,NA,NA,0,0.666666666666667,0.5
0,0,0,0,0.625,0.625
NA,1,0,NA,0.666666666666667,0
0,0,0,0.5,0.666666666666667,1
0,0,NA,NA,0,NA
0,0,0,0,0.5,NA
0.25,0.333333333333333,0.571428571428571,NA,NA,NA
0,NA,NA,NA,NA,0
1,0.666666666666667,0.5,0.714285714285714,0.5,0.5
NA,NA,1,0,NA,NA
0.4,0.5,NA,0,0.5,NA
0.6,0,0,0,0,0
NA,0,NA,NA,0.666666666666667,0.75
0.666666666666667,0.888888888888889,0.5,NA,NA,0
0,0.25,0,0.538461538461538,0.5,0.578947368421053
0,0,0,0,0.25,0
0.833333333333333,0.4,0,0,0,0
0,0,0,0,0,0
0.333333333333333,0,0,0.2,0.333333333333333,0.333333333333333
0.25,0.333333333333333,0.6,NA,NA,NA
0.5,0.5,0.25,0,0,0
0.5,NA,0.642857142857143,0.625,0,NA
0.6,0,0,0,NA,NA
0.571428571428571,0,0.25,0,0,0
0,0,0,0.25,0.636363636363636,0.6
