"X0","X0.5","X1","X1.5","X2","X3"
20,11,13,11,11,11
18,14,9,11,11,10
22,13,10,10,10,9
23,13,11,12,12,12
20,12,11,11,10,10
19,10,10,10,10,10
17,11,12,11,10,10
21,13,11,12,12,13
19,9,10,9,10,10
18,10,10,10,10,10
20,14,10,13,11,11
17,12,12,11,11,10
17,10,12,9,11,10
18,14,11,11,11,12
20,11,10,9,11,11
16,12,11,10,11,10
17,11,11,12,11,10
17,10,11,12,12,11
18,11,12,12,12,12
20,12,11,12,11,12
17,10,10,9,10,9
18,11,12,12,10,11
21,9,9,10,10,10
26,11,10,11,10,10
21,9,11,10,11,9
15,12,10,11,12,10
22,11,11,12,11,9
24,10,10,10,11,10
21,10,10,10,10,10
17,12,11,11,13,12
