"X0","X0.5","X1","X1.5","X2","X3"
0.4,1,1,1,1,1
0.2,0.9,0.7,0.8,0.8,0.8
0.2,0.9,0.9,0.9,0.9,0.9
0.3,0.9,0.9,0.9,0.8,0.9
0.2,1,1,1,0.9,1
0.1,1,1,1,1,1
0.1,1,1,1,1,1
0.2,1,1,1,1,1
0.2,0.9,0.9,0.9,0.9,0.9
0,1,1,1,1,1
0.1,1,1,1,1,1
0.2,0.9,1,1,1,0.9
0.1,0.9,1,0.9,0.9,1
0.3,1,1,1,1,0.9
0.1,1,0.9,0.9,0.9,1
0.2,0.8,0.8,0.7,0.8,0.7
0.2,1,1,1,1,1
0.1,0.8,0.9,1,1,1
0.3,0.9,0.9,0.9,0.9,0.9
0.1,1,1,1,1,1
0.1,0.9,0.9,0.9,0.9,0.9
0.3,0.9,1,1,0.9,0.9
0.1,0.9,0.9,1,1,1
0.2,1,1,1,1,1
0.2,0.9,1,0.9,0.9,0.9
0.1,1,1,1,1,1
0.2,1,0.9,0.9,0.9,0.9
0.1,0.9,1,1,1,1
0.2,1,1,1,1,1
0,1,1,1,1,1
