"X0.01","X0.05","X0.1","X0.15","X0.2","X0.3"
0.2,0.6,0.6,0.9,1,1
0.4,0.6,0.6,0.7,0.8,1
0.4,0.6,0.8,0.9,0.9,0.9
0.7,0.8,0.8,0.9,0.9,1
0.7,0.7,0.8,1,1,1
0.6,0.8,0.8,0.8,0.9,1
0.6,0.8,0.9,1,1,1
0.4,0.6,0.8,1,1,1
0.6,0.8,1,1,1,1
0.6,0.6,0.7,0.7,0.9,0.9
0.4,0.7,0.7,0.9,1,1
0.4,0.7,0.8,0.9,0.9,1
0.5,0.8,0.8,1,1,1
0.6,0.7,0.8,0.9,1,1
0.4,0.5,0.8,0.9,0.9,0.9
0.4,0.8,0.8,0.8,0.9,0.9
0.6,0.9,0.9,0.9,0.9,1
0.5,0.6,0.8,1,1,1
0.4,0.4,0.5,0.7,0.7,0.9
0.6,0.7,0.8,1,1,1
0.3,0.4,0.4,0.8,0.8,0.8
0.7,0.7,0.9,1,1,1
0.4,0.6,0.6,0.7,0.7,0.9
0.4,0.8,0.9,0.9,0.9,0.9
0.6,0.8,1,1,1,1
0.5,0.6,0.6,0.9,0.9,1
0.4,0.6,0.6,0.7,0.7,0.9
0.4,0.8,0.9,1,1,1
0.5,0.7,1,1,1,1
0.4,0.7,0.8,0.9,0.9,0.9
