"X0","X2","X4","X6","X8","X10"
21,22,23,27,19,21
21,16,21,27,23,20
21,20,18,16,16,24
19,18,18,22,22,16
19,22,17,16,24,18
22,18,16,23,19,19
18,24,15,23,19,19
21,19,20,18,20,21
25,20,23,22,22,21
19,17,20,19,20,17
25,18,21,19,20,27
20,22,22,17,22,18
20,18,25,18,20,18
16,22,19,20,23,17
17,22,17,21,21,18
20,21,19,23,16,23
15,17,19,18,16,17
19,20,18,18,22,22
15,21,20,20,16,21
16,19,15,19,22,19
19,18,20,20,20,19
16,22,22,15,23,16
23,23,20,24,20,22
20,21,20,12,24,18
12,19,19,20,22,17
26,20,20,17,17,18
23,15,19,24,21,23
20,18,17,16,18,18
20,19,18,18,19,18
19,17,19,20,20,20
