"X600","X840","X1080","X1320","X1560","X1800"
17,22,17,17,21,20
18,24,21,22,18,21
22,18,19,24,17,22
21,19,18,23,19,17
22,19,20,17,24,17
21,21,21,22,17,17
22,18,17,20,20,20
19,20,20,20,24,21
17,17,17,17,20,19
19,21,17,25,18,22
21,19,19,21,24,22
20,19,18,20,14,22
18,18,19,21,18,20
21,22,19,15,24,21
21,21,19,17,21,18
21,18,24,19,15,17
21,20,19,19,15,18
16,18,21,18,15,24
18,21,20,18,19,21
17,16,20,20,21,17
21,19,19,21,17,22
18,20,20,20,22,19
16,18,19,21,18,21
19,20,19,22,20,25
21,24,19,23,15,17
17,21,18,18,21,22
21,19,17,21,18,18
21,24,18,25,19,17
20,20,22,18,19,19
20,18,16,19,18,21
