"X6","X8","X10","X12","X14","X16"
20,22,25,17,14,20
19,18,15,21,17,19
19,21,18,21,20,18
19,18,23,17,20,22
21,15,21,21,24,20
22,17,23,22,17,17
17,21,19,20,20,23
19,20,18,18,16,19
20,25,20,18,16,22
18,18,19,16,19,19
18,22,20,21,20,17
19,19,15,21,18,19
21,21,16,18,19,17
22,17,20,18,21,19
18,21,23,21,21,16
19,20,19,23,17,21
19,18,22,23,23,19
20,21,15,20,22,21
18,17,21,17,19,21
18,22,19,14,19,17
17,19,15,22,20,22
24,21,20,19,18,18
20,24,20,22,23,18
20,22,20,20,23,19
20,21,19,19,22,19
21,22,20,19,19,19
18,17,19,21,24,18
22,18,15,16,18,19
22,19,15,18,19,19
18,17,24,21,19,21
