"X600","X840","X1080","X1320","X1560","X1800"
0.9,1,0.8,1,1,1
0.6,0.7,0.8,0.8,0.8,0.8
0.7,0.8,0.8,0.9,0.8,0.9
1,0.9,0.8,1,0.9,0.9
0.8,0.8,0.8,0.9,0.9,1
0.9,0.9,0.8,0.9,0.9,0.9
1,1,1,1,1,1
0.8,0.8,0.9,0.8,0.9,1
0.9,0.9,0.9,0.9,0.9,0.9
0.9,0.9,0.9,0.8,0.8,0.9
0.9,0.7,0.7,0.7,0.8,0.7
0.8,0.9,1,1,0.8,0.8
1,1,1,1,0.9,0.9
0.8,0.9,0.9,1,1,1
0.7,0.8,0.9,0.7,0.9,0.9
0.8,0.8,0.8,0.8,0.9,0.9
0.8,0.7,0.8,1,0.9,0.8
0.9,0.9,1,1,1,1
0.8,0.9,0.8,0.8,1,0.8
0.9,1,1,1,1,1
0.6,0.7,0.8,0.9,0.9,0.9
0.8,0.8,0.8,0.9,1,1
0.7,0.7,0.7,0.8,0.8,1
0.7,0.8,0.8,0.9,0.8,0.8
0.9,0.9,1,1,1,1
0.8,0.9,0.9,0.9,0.9,0.9
0.8,0.8,0.8,0.8,0.8,0.9
0.8,0.8,0.8,0.8,0.9,0.8
0.8,0.9,1,0.9,0.8,1
0.7,0.8,0.9,0.9,0.9,0.9
