"X0","X0.5","X1","X1.5","X2","X3"
NA,NA,NA,NA,0,0
NA,0,0.5,0,0,0
NA,NA,NA,NA,NA,0
NA,NA,NA,0,NA,1
NA,NA,NA,NA,NA,0
NA,NA,NA,NA,0.5,0
NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,0
NA,NA,NA,0,1,NA
1,NA,NA,0,0,1
NA,NA,NA,NA,NA,0
NA,NA,0,NA,0,0
NA,1,0,NA,0,0
NA,NA,NA,NA,NA,1
NA,0,NA,0,0,NA
NA,NA,0,0.4,NA,1
NA,NA,0,NA,NA,0
NA,NA,1,0,1,0
NA,0.5,0,0.333333333333333,0,0
NA,0,NA,0.5,1,0.5
NA,0.5,0,0,NA,NA
NA,0,0,0,0,NA
NA,NA,0,NA,0,0
NA,NA,NA,1,NA,NA
NA,0,0,0,1,0
1,NA,1,NA,0,0
NA,NA,NA,NA,0,0
NA,0,NA,0,NA,1
NA,NA,0,0,0,1
NA,1,0,0.25,NA,NA
