"X0","X0.5","X1","X1.5","X2","X3"
0,0,0,0,0.2,0.2
0,0.1,0.1,0.1,0.1,0.1
0,0,0,0,0,0.1
0,0,0,0.3,0,0
0,0,0,0,0,0.2
0,0,0,0,0.1,0.1
0,0,0,0,0.1,0
0,0,0,0,0,0.3
0,0,0,0.1,0,0
0,0,0,0.1,0.1,0
0,0,0,0,0,0.1
0,0,0.2,0,0.1,0.1
0,0,0.1,0,0.1,0.1
0,0,0,0,0,0
0,0.1,0,0.1,0.2,0
0,0,0.2,0.3,0,0
0,0,0.1,0,0,0.1
0,0,0,0.2,0,0.1
0,0.1,0.2,0.2,0.2,0.2
0,0.1,0,0.1,0,0.1
0,0.1,0.2,0.1,0,0
0,0.1,0.1,0.1,0.2,0
0,0,0.1,0,0.2,0.1
0,0,0,0,0,0
0,0.1,0.1,0.1,0,0.1
0,0,0,0,0.1,0.1
0,0,0,0,0.1,0.3
0,0.1,0,0.1,0,0
0,0,0.1,0.1,0.1,0
0,0,0.1,0.3,0,0
