"X0","X2","X4","X6","X8","X10"
0,0,0,0,0.25,0
NA,0,0.25,0,0,0
NA,0,0.333333333333333,0,NA,0.5
0,0.333333333333333,0.333333333333333,0,0,0
NA,0,0,0.5,0,0.333333333333333
1,0,0,0.5,0,0
0,0,0,0.25,0,0
0,NA,0,0,0.333333333333333,NA
0,0,0,0,0,0.333333333333333
0.5,NA,0.333333333333333,0,0.333333333333333,0.5
NA,0,0,0,0,0
0,0.5,0,0,0.5,0
NA,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0.5
0,0,0,0,0,0.333333333333333
0,NA,0.333333333333333,0,0,0
NA,0,NA,0,0.333333333333333,0
0,NA,0,0.333333333333333,0,0
0,0,0,0,0,0
0,0,0,0,0.333333333333333,0
0,NA,NA,0,0.333333333333333,0
NA,0,0,0,0,0
NA,0,0,0,0.25,0
0,0,0,0,0,NA
0,0,0,0,0,NA
0,0,0,0,0,0
NA,0,0.333333333333333,0,0,0.5
0,NA,NA,0,0,0.5
0,0,0,0.5,1,0
